rank,title,score,members,episodes,year,link
1,Sousou no Frieren,9.32,963410,28,2023,https://myanimelist.net/anime/52991/Sousou_no_Frieren
2,Fullmetal Alchemist: Brotherhood,9.1,3447556,64,2009,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
3,One Piece Fan Letter,9.1,69389,1,2024,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter
4,Steins-Gate,9.07,2641511,24,2011,https://myanimelist.net/anime/9253/Steins_Gate
5,Shingeki no Kyojin Season 3 Part 2,9.05,2374932,10,2019,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,Gintama°,9.05,650678,51,2015,https://myanimelist.net/anime/28977/Gintama°
7,Gintama: The Final,9.04,160294,1,2021,https://myanimelist.net/anime/39486/Gintama__The_Final
8,Gintama',9.03,574395,51,2011,https://myanimelist.net/anime/9969/Gintama
9,Hunter x Hunter (2011),9.03,2943675,148,2011,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
10,Gintama': Enchousen,9.02,334966,13,2012,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,Bleach: Sennen Kessen-hen,9.01,596958,13,2022,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
12,Ginga Eiyuu Densetsu,9.01,333787,110,1988,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,989582,13,2022,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
14,Bleach: Sennen Kessen-hen - Soukoku-tan,8.98,170405,Unknown,2024,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan
15,Gintama.,8.98,324739,12,2017,https://myanimelist.net/anime/34096/Gintama
16,Fruits Basket: The Final,8.96,505886,13,2021,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
17,Clannad: After Story,8.93,1221501,24,2008,https://myanimelist.net/anime/4181/Clannad__After_Story
18,Gintama,8.93,1094336,201,2006,https://myanimelist.net/anime/918/Gintama
19,Koe no Katachi,8.93,2418497,1,2016,https://myanimelist.net/anime/28851/Koe_no_Katachi
20,3-gatsu no Lion 2nd Season,8.91,413429,22,2017,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
21,Code Geass: Hangyaku no Lelouch R2,8.91,1834115,25,2008,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,246951,1,2013,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,206744,14,2018,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen
24,Kusuriya no Hitorigoto,8.88,510446,24,2023,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
25,Monster,8.88,1186655,74,2004,https://myanimelist.net/anime/19/Monster
26,Owarimonogatari 2nd Season,8.87,411945,7,2017,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
